month,total
2023-07-01T00:00:00Z,673
2023-08-01T00:00:00Z,596
2023-09-01T00:00:00Z,469
2023-10-01T00:00:00Z,525
2023-11-01T00:00:00Z,531
2023-12-01T00:00:00Z,551
2024-01-01T00:00:00Z,429
2024-02-01T00:00:00Z,451
2024-03-01T00:00:00Z,358
2024-04-01T00:00:00Z,317
2024-05-01T00:00:00Z,442
2024-06-01T00:00:00Z,490
2024-07-01T00:00:00Z,479
2024-08-01T00:00:00Z,457
2024-09-01T00:00:00Z,462
2024-10-01T00:00:00Z,506
2024-11-01T00:00:00Z,453
2024-12-01T00:00:00Z,433
2025-01-01T00:00:00Z,338
2025-02-01T00:00:00Z,248
