month,total
2017-02-01,149
2017-03-01,195
2017-04-01,202
2017-05-01,223
2017-06-01,278
2017-07-01,257
2017-08-01,282
2017-09-01,212
2017-10-01,216
2017-11-01,239
2017-12-01,260
2018-01-01,226
2018-02-01,207
2018-03-01,233
2018-04-01,190
2018-05-01,235
2018-06-01,178
2018-07-01,214
2018-08-01,191
2018-09-01,194
2018-10-01,221
2018-11-01,181
2018-12-01,210
2019-01-01,200
2019-02-01,167
2019-03-01,183
2019-04-01,162
2019-05-01,208
2019-06-01,187
2019-07-01,193
2019-08-01,177
2019-09-01,224
2019-10-01,186
2019-11-01,177
2019-12-01,234
2020-01-01,239
2020-02-01,185
2020-03-01,170
2020-04-01,164
2020-05-01,182
2020-06-01,208
2020-07-01,211
2020-08-01,195
2020-09-01,154
2020-10-01,218
2020-11-01,200
2020-12-01,195
2021-01-01,188
2021-02-01,159
2021-03-01,189
2021-04-01,224
2021-05-01,256
2021-06-01,231
2021-07-01,190
2021-08-01,241
2021-09-01,249
2021-10-01,226
2021-11-01,138
2021-12-01,210
2022-01-01,221
2022-02-01,164
2022-03-01,224
2022-04-01,187
2022-05-01,251
2022-06-01,230
2022-07-01,209
2022-08-01,300
2022-09-01,275
2022-10-01,375
2022-11-01,348
2022-12-01,503
2023-01-01,644
2023-02-01,685
2023-03-01,592
2023-04-01,543
2023-05-01,561
2023-06-01,511
2023-07-01,673
2023-08-01,596
2023-09-01,469
2023-10-01,525
2023-11-01,531
2023-12-01,551
2024-01-01,429
2024-02-01,451
2024-03-01,358
2024-04-01,317
2024-05-01,442
2024-06-01,490
2024-07-01,479
2024-08-01,457
2024-09-01,462
2024-10-01,506
2024-11-01,453
2024-12-01,433
2025-01-01,338
2025-02-01,248
