committee_id,committee_name,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,recipient_name,recipient_state,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label
C00847137,GAY VALIMONT FOR CONGRESS,202501169740192873,17,500743309,1863923,ORG,ORGANIZATION,"NGP VAN, INC.",DC,SOFTWARE,,,1/3/25 0:00,656.25,4011620251131060040,WASHINGTON,200055738,OTHER,,2026,SB,4012520251135144754,https://docquery.fec.gov/cgi-bin/fecimg/?202501169740192873,Operating Expenditures
C00876490,CITIZENS FOR PETER BARCA,202502289753998591,17,500152658,1878946,ORG,ORGANIZATION,AMALGAMATED BANK,DC,BANK FEE,,,1/28/25 0:00,32.25,4022820251179236005,WASHINGTON,200061202,OTHER,,2026,SB,4030320251179419303,https://docquery.fec.gov/cgi-bin/fecimg/?202502289753998591,Operating Expenditures
C00847137,GAY VALIMONT FOR CONGRESS,202501169740192873,17,500743310,1863923,ORG,ORGANIZATION,"NGP VAN, INC.",DC,SOFTWARE,,,1/3/25 0:00,1400,4011620251131060040,WASHINGTON,200055738,OTHER,,2026,SB,4012520251135144755,https://docquery.fec.gov/cgi-bin/fecimg/?202501169740192873,Operating Expenditures
C00847137,GAY VALIMONT FOR CONGRESS,202501169740192873,17,500743308,1863923,ORG,ORGANIZATION,"NGP VAN, INC.",DC,SOFTWARE,,,1/3/25 0:00,650,4011620251131060040,WASHINGTON,200055738,OTHER,,2026,SB,4012520251135144753,https://docquery.fec.gov/cgi-bin/fecimg/?202501169740192873,Operating Expenditures
C00852434,GOROFF FOR CONGRESS,202503049754034563,17,500989338,1879236,ORG,ORGANIZATION,NGP VAN INC.,DC,SOFTWARE,,,2/3/25 0:00,325.88,4030420251179438006,WASHINGTON,200052158,OTHER,,2026,SB,4030420251179490346,https://docquery.fec.gov/cgi-bin/fecimg/?202503049754034563,Operating Expenditures
C00709006,JESSICA CISNEROS FOR CONGRESS,202501289747995693,17,SB17.4297,1866821,ORG,ORGANIZATION,NEXT LEVEL PARTNERS,DC,CONSULTANT - COMPLIANCE,,,1/28/25 0:00,2000,4012820251135389061,WASHINGTON,20003,OTHER,,2026,SB,4012920251138494578,https://docquery.fec.gov/cgi-bin/fecimg/?202501289747995693,Operating Expenditures
C00709006,JESSICA CISNEROS FOR CONGRESS,202501289747995693,17,SB17.4299,1866821,ORG,ORGANIZATION,REGINA MONGE LLC,DC,CONSULTANT - ADMINISTRATIVE,,,1/28/25 0:00,3000,4012820251135389061,WASHINGTON,20009,OTHER,,2026,SB,4012920251138494579,https://docquery.fec.gov/cgi-bin/fecimg/?202501289747995693,Operating Expenditures
C00871046,RACHEL BOHMAN FOR CONGRESS,202503249754493475,17,SB17.4108,1882400,ORG,ORGANIZATION,NGP VAN,DC,COMPLIANCE SOFTWARE,,,1/21/25 0:00,965,4032520251181244001,WASHINGTON,20005,OTHER,,2026,SB,4032520251181380275,https://docquery.fec.gov/cgi-bin/fecimg/?202503249754493475,Operating Expenditures
C00872739,FRIENDS OF DAN RUBY,202501309748664613,17,500149443,1869412,ORG,ORGANIZATION,NGP VAN,DC,DATABASE SERVICES,,,1/28/25 0:00,300,4013020251138529218,WASHINGTON,200055738,OTHER,,2026,SB,4020620251144471886,https://docquery.fec.gov/cgi-bin/fecimg/?202501309748664613,Operating Expenditures
C00871046,RACHEL BOHMAN FOR CONGRESS,202503249754493475,17,SB17.4107,1882400,ORG,ORGANIZATION,NGP VAN,DC,COMPLIANCE SOFTWARE,,,1/3/25 0:00,965,4032520251181244001,WASHINGTON,20005,OTHER,,2026,SB,4032520251181380274,https://docquery.fec.gov/cgi-bin/fecimg/?202503249754493475,Operating Expenditures
C00652297,GINA ORTIZ JONES FOR CONGRESS,202501319749061931,17,SB17.4335,1872360,ORG,ORGANIZATION,NEXT LEVEL PARTNERS,DC,CONSULTANT - COMPLIANCE,,,1/28/25 0:00,841.02,4013120251139337701,WASHINGTON,20003,OTHER,,2026,SB,4020720251166846798,https://docquery.fec.gov/cgi-bin/fecimg/?202501319749061931,Operating Expenditures
C00574889,TAMMY FOR ILLINOIS,202504159755803388,17,500440746,1887645,ORG,ORGANIZATION,USPS.COM,DC,POSTAGE,,,2/7/25 0:00,46.9,4041520251184156872,WASHINGTON,202600004,ADMINISTRATIVE,,2026,SB,4041720251185303423,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755803388,Operating Expenditures
C00663914,GREAT AMERICAN FUND,202504089755144025,17,B62907B95F1C44D8286B,1884597,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,FOOD & BEVERAGE,X,,1/15/25 0:00,111.03,4040820251183334053,WASHINGTON,200031801,OTHER,,2026,SB,4040820251183375022,https://docquery.fec.gov/cgi-bin/fecimg/?202504089755144025,Operating Expenditures
C00663914,GREAT AMERICAN FUND,202504089755144025,17,B9A3F49674BE34692B32,1884597,ORG,ORGANIZATION,BULLFEATHERS ON THE HILL,DC,FOOD & BEVERAGE,X,,1/15/25 0:00,314.6,4040820251183334053,WASHINGTON,200031819,OTHER,,2026,SB,4040820251183375024,https://docquery.fec.gov/cgi-bin/fecimg/?202504089755144025,Operating Expenditures
C00473371,HOEVEN FOR SENATE,202504149755302460,17,SB.12,1885844,ORG,ORGANIZATION,BISTRO CACAO,DC,FOOD/BEVERAGE,,,1/6/25 0:00,2439,4041420251183966106,WASHINGTON,20002,OTHER,,2026,SB,4042420251186628383,https://docquery.fec.gov/cgi-bin/fecimg/?202504149755302460,Operating Expenditures
C00384057,STAND WITH SANCHEZ,202504159755378115,17,500431686,1886648,ORG,ORGANIZATION,NATIONAL DEMOCRATIC CLUB,DC,MEALS,,,1/21/25 0:00,156.28,4041520251184156266,WASHINGTON,200034006,TRAVEL,,2026,SB,4041720251185311957,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755378115,Operating Expenditures
C00663914,GREAT AMERICAN FUND,202504089755144028,17,B61985B8FAD384D35B0E,1884597,ORG,ORGANIZATION,RESIDENCE INN,DC,LODGING,X,,3/17/25 0:00,322.46,4040820251183334053,WASHINGTON,200053519,TRAVEL,,2026,SB,4040820251183375031,https://docquery.fec.gov/cgi-bin/fecimg/?202504089755144028,Operating Expenditures
C00367862,MIKE ROGERS FOR CONGRESS,202504159756052434,17,SB17.60428,1887968,ORG,ORGANIZATION,"DEMOCRACY ENGINE, LLC",DC,PROCESSING FEES FEBRUARY,,,2/28/25 0:00,1400,4041620251184296008,WASHINGTON,20001,OTHER,,2026,SB,4041620251184913495,https://docquery.fec.gov/cgi-bin/fecimg/?202504159756052434,Operating Expenditures
C00543967,BUDDY CARTER FOR CONGRESS,202504159755543076,17,BB7CC41FB79D044EBA4E,1887210,ORG,ORGANIZATION,SOUTH END STRATEGIES,DC,STRATEGY CONSULTING,,,2/27/25 0:00,2500,4041520251184156595,WASHINGTON,200053690,OTHER,,2026,SB,4042520251186690511,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755543076,Operating Expenditures
C00494856,LOIS FRANKEL FOR CONGRESS,202504119755217381,17,500991443,1885354,ORG,ORGANIZATION,POLITICAL COMPLIANCE MANAGEMENT SERVICES LLC,DC,ACCOUNTING SERVICES,,,2/24/25 0:00,2514.34,4041120251183621080,WASHINGTON,200062623,OTHER,,2026,SB,4041420251184147718,https://docquery.fec.gov/cgi-bin/fecimg/?202504119755217381,Operating Expenditures
C00367862,MIKE ROGERS FOR CONGRESS,202504159756052424,17,SB17.60448.71,1887968,ORG,ORGANIZATION,CAPITOL GRILLE,DC,CATERING,X,,3/5/25 0:00,190,4041620251184296008,WASHINGTON,20003,FUNDRAISING,,2026,SB,4041620251184913464,https://docquery.fec.gov/cgi-bin/fecimg/?202504159756052424,Operating Expenditures
C00458398,BENNET FOR COLORADO,202504159755652824,17,500028891,1887525,ORG,ORGANIZATION,US SENATE CAFE,DC,MEALS,,,1/6/25 0:00,110.4,4041520251184156785,WASHINGTON,205100001,TRAVEL,,2026,SB,4042120251185619306,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755652824,Operating Expenditures
C00412890,ADRIAN SMITH FOR CONGRESS,202504129755255842,17,B270289CB16A34F43978,1885480,ORG,ORGANIZATION,FOGO DE CHAO,DC,FOOD/BEVERAGE/CATERING,X,,1/24/25 0:00,3928.58,4041220251183933052,WASHINGTON,200042514,FUNDRAISING,,2026,SB,4041420251184145775,https://docquery.fec.gov/cgi-bin/fecimg/?202504129755255842,Operating Expenditures
C00663914,GREAT AMERICAN FUND,202504089755144025,17,B5AA89F86FA484A5893B,1884597,ORG,ORGANIZATION,THE CAPITAL GRILLE,DC,FOOD & BEVERAGE,X,,1/15/25 0:00,217.9,4040820251183334053,WASHINGTON,200042601,OTHER,,2026,SB,4040820251183375023,https://docquery.fec.gov/cgi-bin/fecimg/?202504089755144025,Operating Expenditures
C00494856,LOIS FRANKEL FOR CONGRESS,202504119755217381,17,500987335,1885354,ORG,ORGANIZATION,POLITICAL COMPLIANCE MANAGEMENT SERVICES LLC,DC,ACCOUNTING SERVICES,,,1/22/25 0:00,2503.65,4041120251183621080,WASHINGTON,200062623,OTHER,,2026,SB,4041420251184147717,https://docquery.fec.gov/cgi-bin/fecimg/?202504119755217381,Operating Expenditures
C00852434,GOROFF FOR CONGRESS,202503049754034564,17,500989339,1879236,ORG,ORGANIZATION,NGP VAN INC.,DC,SOFTWARE,,,3/3/25 0:00,326.26,4030420251179438006,WASHINGTON,200052158,OTHER,,2026,SB,4030420251179490348,https://docquery.fec.gov/cgi-bin/fecimg/?202503049754034564,Operating Expenditures
C00854307,WHITNEY FOX FOR CONGRESS,202503139754146163,17,500752697,1880276,ORG,ORGANIZATION,AMALGAMATED BANK,DC,BANK FEE,,,2/26/25 0:00,49,4031320251180004001,WASHINGTON,200061202,OTHER,,2026,SB,4031320251180030904,https://docquery.fec.gov/cgi-bin/fecimg/?202503139754146163,Operating Expenditures
