month,total
2017-03-01T00:00:00Z,577
2017-04-01T00:00:00Z,600
2017-05-01T00:00:00Z,707
2017-06-01T00:00:00Z,644
2017-07-01T00:00:00Z,661
2017-08-01T00:00:00Z,640
2017-09-01T00:00:00Z,626
2017-10-01T00:00:00Z,707
2017-11-01T00:00:00Z,711
2017-12-01T00:00:00Z,651
2018-01-01T00:00:00Z,579
2018-02-01T00:00:00Z,570
2018-03-01T00:00:00Z,609
2018-04-01T00:00:00Z,573
2018-05-01T00:00:00Z,726
2018-06-01T00:00:00Z,688
2018-07-01T00:00:00Z,654
2018-08-01T00:00:00Z,646
2018-09-01T00:00:00Z,736
2018-10-01T00:00:00Z,692
2018-11-01T00:00:00Z,760
2018-12-01T00:00:00Z,816
2019-01-01T00:00:00Z,663
2019-02-01T00:00:00Z,690
2019-03-01T00:00:00Z,801
2019-04-01T00:00:00Z,742
2019-05-01T00:00:00Z,853
2019-06-01T00:00:00Z,798
2019-07-01T00:00:00Z,753
2019-08-01T00:00:00Z,804
2019-09-01T00:00:00Z,781
2019-10-01T00:00:00Z,850
2019-11-01T00:00:00Z,795
2019-12-01T00:00:00Z,853
2020-01-01T00:00:00Z,698
2020-02-01T00:00:00Z,738
2020-03-01T00:00:00Z,642
2020-04-01T00:00:00Z,395
2020-05-01T00:00:00Z,536
2020-06-01T00:00:00Z,633
2020-07-01T00:00:00Z,763
2020-08-01T00:00:00Z,763
2020-09-01T00:00:00Z,747
2020-10-01T00:00:00Z,844
2020-11-01T00:00:00Z,718
2020-12-01T00:00:00Z,764
2021-01-01T00:00:00Z,690
2021-02-01T00:00:00Z,629
2021-03-01T00:00:00Z,729
2021-04-01T00:00:00Z,827
2021-05-01T00:00:00Z,922
2021-06-01T00:00:00Z,837
2021-07-01T00:00:00Z,949
2021-08-01T00:00:00Z,872
2021-09-01T00:00:00Z,884
2021-10-01T00:00:00Z,952
2021-11-01T00:00:00Z,599
2021-12-01T00:00:00Z,837
2022-01-01T00:00:00Z,693
2022-02-01T00:00:00Z,719
2022-03-01T00:00:00Z,806
2022-04-01T00:00:00Z,847
2022-05-01T00:00:00Z,925
2022-06-01T00:00:00Z,787
2022-07-01T00:00:00Z,788
2022-08-01T00:00:00Z,856
2022-09-01T00:00:00Z,761
2022-10-01T00:00:00Z,963
2022-11-01T00:00:00Z,799
2022-12-01T00:00:00Z,887
2023-01-01T00:00:00Z,741
2023-02-01T00:00:00Z,668
2023-03-01T00:00:00Z,842
2023-04-01T00:00:00Z,854
2023-05-01T00:00:00Z,841
2023-06-01T00:00:00Z,739
2023-07-01T00:00:00Z,812
2023-08-01T00:00:00Z,825
2023-09-01T00:00:00Z,808
2023-10-01T00:00:00Z,917
2023-11-01T00:00:00Z,804
2023-12-01T00:00:00Z,849
2024-01-01T00:00:00Z,751
2024-02-01T00:00:00Z,713
2024-03-01T00:00:00Z,728
2024-04-01T00:00:00Z,791
2024-05-01T00:00:00Z,882
2024-06-01T00:00:00Z,797
2024-07-01T00:00:00Z,777
2024-08-01T00:00:00Z,810
2024-09-01T00:00:00Z,812
2024-10-01T00:00:00Z,900
2024-11-01T00:00:00Z,810
2024-12-01T00:00:00Z,854
2025-01-01T00:00:00Z,692
2025-02-01T00:00:00Z,660
2025-03-01T00:00:00Z,675
