week,year,days,bus,rail,total
1,2024,1/1/2024 - 1/7/2024,1894193,1674408,3568601
2,2024,1/8/2024 - 1/14/2024,2232513,2128356,4360869
3,2024,1/15/2024 - 1/21/2024,1494371,1685966,3180337
4,2024,1/22/2024 - 1/28/2024,2292995,2290524,4583519
5,2024,1/29/2024 - 2/4/2024,2350972,2290679,4641651
6,2024,2/5/2024 - 2/11/2024,2363571,2344665,4708236
7,2024,2/12/2024 - 2/18/2024,2272588,2288607,4561195
8,2024,2/19/2024 - 2/25/2024,2159615,2179962,4339577
9,2024,2/26/2024 - 3/3/2024,2400864,2369448,4770312
10,2024,3/4/2024 - 3/10/2024,2242647,2446647,4689294
11,2024,3/11/2024 - 3/17/2024,2266685,2730666,4997351
12,2024,3/18/2024 - 3/24/2024,2278548,2815428,5093976
13,2024,3/25/2024 - 3/31/2024,2261848,2855834,5117682
14,2024,4/1/2024 - 4/7/2024,2312763,2818145,5130908
15,2024,4/8/2024 - 4/14/2024,2444016,2658591,5102607
16,2024,4/15/2024 - 4/21/2024,2274122,2622387,4896509
17,2024,4/22/2024 - 4/28/2024,2487955,2638695,5126650
18,2024,4/29/2024 - 5/5/2024,2535095,2511399,5046494
19,2024,5/6/2024 - 5/12/2024,2495700,2520603,5016303
20,2024,5/13/2024 - 5/19/2024,2452436,2559038,5011474
21,2024,5/20/2024 - 5/26/2024,2529283,2626273,5155556
22,2024,5/27/2024 - 6/2/2024,2323268,2296921,4620189
23,2024,6/3/2024 - 6/9/2024,2542799,2865090,5407889
24,2024,6/10/2024 - 6/16/2024,2535008,2660243,5195251
25,2024,6/17/2024 - 6/23/2024,2233086,2326037,4559123
26,2024,6/24/2024 - 6/30/2024,2387407,2508714,4896121
27,2024,7/1/2024 - 7/7/2024,2210864,2425356,4636220
28,2024,7/8/2024 - 7/14/2024,2305165,2440842,4746007
29,2024,7/15/2024 - 7/21/2024,2305155,2471910,4777065
30,2024,7/22/2024 - 7/28/2024,2358862,2514981,4873843
31,2024,7/29/2024 - 8/4/2024,2358321,2429478,4787799
32,2024,8/5/2024 - 8/11/2024,2199637,2231797,4431434
33,2024,8/12/2024 - 8/18/2024,2343119,2218062,4561181
34,2024,8/19/2024 - 8/25/2024,2426483,2316427,4742910
35,2024,8/26/2024 - 9/1/2024,2582009,2432413,5014422
36,2024,9/2/2024 - 9/8/2024,2454458,2269549,4724007
37,2024,9/9/2024 - 9/15/2024,2600380,2714333,5314713
38,2024,9/16/2024 - 9/22/2024,2628719,2656987,5285706
39,2024,9/23/2024 - 9/29/2024,2585120,2717769,5302889
40,2024,9/30/2024 - 10/6/2024,2664219,2616652,5280871
41,2024,10/7/2024 - 10/13/2024,2579513,2766031,5345544
42,2024,10/14/2024 - 10/20/2024,2467849,2693523,5161372
43,2024,10/21/2024 - 10/27/2024,2632342,2869218,5501560
44,2024,10/28/2024 - 11/3/2024,2634053,2712297,5346350
45,2024,11/4/2024 - 11/10/2024,2473437,2471772,4945209
46,2024,11/11/2024 - 11/17/2024,2432129,2499697,4931826
47,2024,11/18/2024 - 11/24/2024,2529835,2598035,5127870
48,2024,11/25/2024 - 12/1/2024,1916003,1774372,3690375
49,2024,12/2/2024 - 12/8/2024,2394709,2611376,5006085
50,2024,12/9/2024 - 12/15/2024,2375280,2760967,5136247
51,2024,12/16/2024 - 12/22/2024,2333829,2373149,4706978
52,2024,12/23/2024 - 12/29/2024,1597722,1258261,2855983
